family	code	count	ING	LY	ER	ED	S	OTHER	samples
F	1	3	0	0	0	0	0	3	ELIOT-OR-MARTIN,BRUTAL-AND,DONE-AND
F	18	2	0	0	0	0	0	2	NO-ONE,T'HI-IM
F	20	1	0	0	0	0	0	1	MARGIN-THE
F	36	1	0	0	0	0	0	1	X-THERE
F	39	18	0	0	0	0	0	18	ANTE-BELLUM,BIFUTEK-SAN,BOUT-DE-SOUFFLE,CHI-CHI,DEMI-MONDE,GRANDE-BRETAGNE,HARA-KIRI,HOI-POLLOI
F	55	22	0	0	2	0	4	16	AGREED-UPON,ALL-OVER,CHIN-UP,COME-ON,EARLIER-THE,NEAR-BY,OCCUPATION-AS,PAID-FOR
F	58	1	0	0	0	0	1	0	VIS-A-VIS
F	71	1	1	0	0	0	0	0	PISTOL-WHIPPING
F	77	1	0	0	0	0	0	1	WHAT-WILL-T
F	95	256	0	119	2	3	7	125	ABSENT-MINDEDLY,ACROSS-THE-BOARD,ALL-IN-ALL,ALL-OUT,ANTE-MORTEM,ANTI-SEMITICALLY,ANTI-CLOCKWISE,ARSY-VERSY
F	96	1	0	0	0	0	0	1	HEAD-TO-HEAD
F	98	111	0	2	9	12	7	81	AIR-TO-AIR,AIR-TO-GROUND,AIR-TO-SURFACE,ALL-FIRED,ANKLE-DEEP,ARSY-VARSY,AT-LARGE,BARE-HANDED
F	107	1	0	0	0	0	0	1	GOOD-BY
F	109	1	1	0	0	0	0	0	NOT-KNOWING
F	112	1	0	1	0	0	0	0	LESS-PERFECTLY
F	113	1	0	0	0	0	1	0	MOST-CONTENTIOUS
F	114	1	0	0	0	0	0	1	UP-PP
F	118	43	0	0	0	0	2	41	COCK-A-DOODLE-DOO,FIDDLE-STICKS,FIDDLE-FADDLE,GEE-UP,HA-HA,HAW-HAW,HEIGH-HO,HO-HUM
F	120	362	357	0	0	0	0	5	ABOUT-SHIPPING,ABOUT-FACING,ABOUT-TURNING,AD-LIBBING,AIR-CONDITIONING,AIR-COOLING,AIR-MAILING,AIR-DRYING
F	124	1	0	0	0	0	0	1	TRANSPORTATION-WHERE
G	1	10	0	0	2	0	0	8	AN',ANDOR,AND/OR,ETHER,ND,NETHER,NOR,OR
G	2	2	0	0	0	0	0	2	AN,N
G	3	1	0	0	1	0	0	0	EITHER
G	4	1	0	0	1	0	0	0	NEITHER
G	5	1	0	0	0	0	0	1	BOTH
G	6	1	0	0	0	0	0	1	ONE
G	7	1	0	0	0	0	0	1	ET
G	8	3	0	0	0	0	2	1	MINUS,VERSUS,VS.
G	9	1	0	0	0	0	0	1	SO
G	10	8	0	0	1	0	1	6	ALTHO,ERE,GAINST,NISI,V.,WHENAS,WHETHER,WHILST
G	11	6	0	0	0	0	1	5	THO',BUT,PLUS,SYN,WHEREINTO,YET
G	12	1	0	0	0	0	1	0	LESS
G	13	7	0	0	3	0	0	4	HOWBEIT,AFORE,SYNE,WHENCESOEVER,WHENSOEVER,WHEREAT,WHITHERSOEVER
G	14	1	0	0	1	0	0	0	WHERESOEVER
G	15	2	0	0	1	0	0	1	FOR,OVER
G	16	1	0	0	0	0	0	1	TO
G	17	1	1	0	0	0	0	0	PROVIDING
G	18	5	0	0	0	0	2	3	AND,THENCEFORTH,THEREFORE,TIMES,WHILES
G	19	1	1	0	0	0	0	0	SEEING
G	20	52	1	0	0	1	1	49	AIN,AN'ADVERTISING,BILLION,ELEVEN,FIVE,FIFTEEN,FIFTY,HEELSTHE
G	21	3	0	0	0	0	0	3	DEL,LA,LE
G	22	1	0	0	0	0	0	1	A
G	23	1	0	0	0	0	0	1	THE
G	24	1	0	0	0	0	0	1	SUCH
G	25	1	0	0	0	0	0	1	THAT
G	26	1	0	0	0	0	0	1	ALL
G	27	3	0	0	0	0	1	2	HALF,NARY,THIS
G	28	5	0	0	1	0	1	3	ANOTHER,THEM,VARIOUS,Y'ALL,YE
G	29	4	0	0	0	0	0	4	ANY,EACH,SOME,FEW
G	30	1	0	0	1	0	0	0	WHATEVER
G	31	1	0	0	0	0	0	1	THINE
G	32	9	0	0	2	0	0	7	CERTAIN,ELSE,ENOUGH,NOT,OTHER,SEVERAL,MUCH,YONDER
G	33	1	0	0	0	0	0	1	LEAST
G	34	1	0	0	0	0	0	1	NO
G	35	1	0	0	1	0	0	0	WHICHEVER
G	37	1	0	0	0	0	0	1	THERE
G	38	1	0	0	1	0	0	0	THER
G	39	603	0	0	14	1	101	487	ABER,ABSENTIA,ADIEU,ADIOS,AGILE,AGRICOLAS,AGRICOLE,AGRICULTEURS
G	40	10	0	0	1	0	1	8	DE,INTER,LIEU,PAR,POUR,SANS,SINE,C.
G	41	1	0	0	0	0	0	1	SE
