 voicetext_paul.  112937 [006] 42891.639800:          1  branches:u:          100651dd [unknown] (/samples/vt_pau.dll) =>         100651e8 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639800:          1  branches:u:          100651eb [unknown] (/samples/vt_pau.dll) =>         100651f2 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639800:          1  branches:u:          100651f2 [unknown] (/samples/vt_pau.dll) =>                0 [unknown] ([unknown])
 voicetext_paul.  112937 [006] 42891.639800:          1  branches:u:          100651fe [unknown] (/samples/vt_pau.dll) =>         7bb9c97c [unknown] (/usr/lib/i386-linux-gnu/wine/i386-windows/kernel32.dll)
 voicetext_paul.  112937 [006] 42891.639820:          1  branches:u:          10066947 [unknown] (/samples/vt_pau.dll) =>         10066a18 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639820:          1  branches:u:          10066a25 [unknown] (/samples/vt_pau.dll) =>                0 [unknown] ([unknown])
 voicetext_paul.  112937 [006] 42891.639821:          1  branches:u:          10066947 [unknown] (/samples/vt_pau.dll) =>         10066a18 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639822:          1  branches:u:          1006789a [unknown] (/samples/vt_pau.dll) =>                0 [unknown] ([unknown])
 voicetext_paul.  112937 [006] 42891.639824:          1  branches:u:          1006789a [unknown] (/samples/vt_pau.dll) =>         7bd69080 [unknown] (/usr/lib/i386-linux-gnu/wine/i386-windows/ntdll.dll)
 voicetext_paul.  112937 [006] 42891.639825:          1  branches:u:          100664d6 [unknown] (/samples/vt_pau.dll) =>         10069f91 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639827:          1  branches:u:          100664d6 [unknown] (/samples/vt_pau.dll) =>         10069f91 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639827:          1  branches:u:          10069fd8 [unknown] (/samples/vt_pau.dll) =>         10069fdc [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639827:          1  branches:u:          10069fe2 [unknown] (/samples/vt_pau.dll) =>         1006a090 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639827:          1  branches:u:          1006a09b [unknown] (/samples/vt_pau.dll) =>         1006a0bc [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639827:          1  branches:u:          1006a0cd [unknown] (/samples/vt_pau.dll) =>         100664db [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639827:          1  branches:u:          100664ea [unknown] (/samples/vt_pau.dll) =>         7bd384b0 [unknown] (/usr/lib/i386-linux-gnu/wine/i386-windows/ntdll.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639837:          1  branches:u:          100688f1 [unknown] (/samples/vt_pau.dll) =>         100688d1 [unknown] (/samples/vt_pau.dll)
