kate_index	units	legacy_column	min	max	distinct	paul_attr_b_emd
unit-alp.idx	905	00	0	0	1	49.462185
unit-alp.idx	905	01	0	1	2	48.690914
unit-alp.idx	905	02	1	90	23	14.106959
unit-alp.idx	905	03	0	90	30	18.324063
unit-alp.idx	905	04	0	90	32	15.843400
unit-alp.idx	905	05	0	90	32	16.705279
unit-alp.idx	905	06	0	90	34	15.520748
unit-alp.idx	905	07	12	167	139	24.078147
unit-alp.idx	905	08	0	255	156	45.265184
unit-alp.idx	905	09	0	255	146	46.855054
unit-alp.idx	905	10	61	175	113	92.248312
unit-alp.idx	905	11	47	255	104	34.021793
unit-alp.idx	905	12	0	247	116	28.745466
unit-alp.idx	905	13	0	254	118	30.595190
unit-alp.idx	905	14	88	177	76	110.811848
unit-alp.idx	905	15	57	207	86	32.204048
unit-alp.idx	905	16	0	255	151	48.198459
unit-alp.idx	905	17	0	255	143	45.385440
unit-alp.idx	905	18	81	175	88	97.237263
unit-alp.idx	905	19	47	255	108	39.707981
unit-etc.idx	3666	00	0	0	1	31.915263
unit-etc.idx	3666	01	0	1	2	31.731957
unit-etc.idx	3666	02	0	94	79	8.971313
unit-etc.idx	3666	03	0	90	73	10.532681
unit-etc.idx	3666	04	0	94	76	8.750357
unit-etc.idx	3666	05	0	94	78	10.545839
unit-etc.idx	3666	06	0	94	78	12.098579
unit-etc.idx	3666	07	8	169	147	28.831054
unit-etc.idx	3666	08	0	255	233	58.578497
unit-etc.idx	3666	09	0	255	220	62.554765
unit-etc.idx	3666	10	54	181	119	125.221125
unit-etc.idx	3666	11	41	255	119	52.518725
unit-etc.idx	3666	12	0	255	225	48.024499
unit-etc.idx	3666	13	0	255	207	50.345557
unit-etc.idx	3666	14	68	181	95	131.834600
unit-etc.idx	3666	15	40	255	122	53.768588
unit-etc.idx	3666	16	0	255	227	61.260984
unit-etc.idx	3666	17	0	255	212	72.249267
unit-etc.idx	3666	18	67	179	108	106.721398
unit-etc.idx	3666	19	39	255	150	61.905250
unit-gen.idx	179995	00	0	0	1	28.012456
unit-gen.idx	179995	01	0	1	2	27.156926
unit-gen.idx	179995	02	0	94	82	9.924154
unit-gen.idx	179995	03	0	94	82	9.895864
unit-gen.idx	179995	04	0	94	82	9.811879
unit-gen.idx	179995	05	0	94	82	10.005234
unit-gen.idx	179995	06	0	94	82	9.969600
unit-gen.idx	179995	07	5	137	124	0.425641
unit-gen.idx	179995	08	0	255	256	60.216527
unit-gen.idx	179995	09	0	255	256	59.253512
unit-gen.idx	179995	10	52	180	129	123.881147
unit-gen.idx	179995	11	38	255	174	55.715248
unit-gen.idx	179995	12	0	255	256	50.443746
unit-gen.idx	179995	13	0	255	256	50.724002
unit-gen.idx	179995	14	57	182	124	128.012128
unit-gen.idx	179995	15	42	255	173	56.375161
unit-gen.idx	179995	16	0	255	256	60.106985
unit-gen.idx	179995	17	0	255	256	59.077991
unit-gen.idx	179995	18	69	180	112	124.247213
unit-gen.idx	179995	19	43	255	182	57.013812
unit-gen2.idx	98133	00	0	0	1	28.012456
unit-gen2.idx	98133	01	0	1	2	27.153560
unit-gen2.idx	98133	02	0	94	82	9.796864
unit-gen2.idx	98133	03	0	94	82	9.736099
unit-gen2.idx	98133	04	0	94	82	9.833243
unit-gen2.idx	98133	05	0	94	82	9.903484
unit-gen2.idx	98133	06	0	94	82	10.050968
unit-gen2.idx	98133	07	5	140	127	0.607353
unit-gen2.idx	98133	08	0	255	256	60.118890
unit-gen2.idx	98133	09	0	255	256	61.155208
unit-gen2.idx	98133	10	47	181	132	125.280219
unit-gen2.idx	98133	11	43	245	173	54.467485
unit-gen2.idx	98133	12	0	255	256	52.401663
unit-gen2.idx	98133	13	0	255	256	51.872667
unit-gen2.idx	98133	14	49	182	126	129.276316
unit-gen2.idx	98133	15	44	255	179	55.214339
unit-gen2.idx	98133	16	0	255	256	59.958271
unit-gen2.idx	98133	17	0	255	256	60.819296
unit-gen2.idx	98133	18	65	181	115	125.667693
unit-gen2.idx	98133	19	37	255	195	56.015802
unit-num.idx	997	00	0	0	1	31.354252
unit-num.idx	997	01	0	1	2	30.581935
unit-num.idx	997	02	0	90	34	9.687877
unit-num.idx	997	03	0	90	55	9.424085
unit-num.idx	997	04	0	90	46	8.238679
unit-num.idx	997	05	0	90	50	7.409190
unit-num.idx	997	06	0	90	48	8.725978
unit-num.idx	997	07	8	128	86	1.185723
unit-num.idx	997	08	0	255	186	56.223423
unit-num.idx	997	09	0	254	178	54.632650
unit-num.idx	997	10	66	176	108	117.593592
unit-num.idx	997	11	59	189	78	53.110142
unit-num.idx	997	12	0	254	179	45.257027
unit-num.idx	997	13	0	254	181	46.603065
unit-num.idx	997	14	70	177	93	125.594595
unit-num.idx	997	15	57	216	87	54.719971
unit-num.idx	997	16	0	255	178	56.188317
unit-num.idx	997	17	0	254	186	53.333754
unit-num.idx	997	18	86	176	83	122.115157
unit-num.idx	997	19	59	189	91	56.264605
